,combined,b,r,M,similarity,probability,acc,spec,sens,prec
60,0.6288659793814433,89,4,356,0.4,0.9,0.9998558558558559,0.9998558486410731,1.0,0.25773195876288657
61,0.625,116,4,464,0.4,0.95,0.9998498498498498,0.9998498423344512,1.0,0.25
62,0.6116071428571429,178,4,712,0.4,0.99,0.9998258258258258,0.9998258171079634,1.0,0.22321428571428573
63,0.6506024096385542,117,5,585,0.4,0.7,0.9998838838838839,0.9998838780719755,1.0,0.30120481927710846
64,0.6420454545454546,156,5,780,0.4,0.8,0.9998738738738738,0.999873867560939,1.0,0.2840909090909091
65,0.6126126126126126,34,3,102,0.5,0.99,0.9998278278278279,0.9998278192101707,1.0,0.22522522522522523
66,0.6396875,25,4,100,0.5,0.8,0.9999139139139139,0.9999179138095,0.92,0.359375
67,0.64,36,4,144,0.5,0.9,0.9998958958958959,0.9998978927874268,0.96,0.32
68,0.6318987341772152,46,4,184,0.5,0.95,0.9998878878878878,0.9998898843785975,0.96,0.3037974683544304
69,0.6404494382022472,71,4,284,0.5,0.99,0.9998718718718719,0.9998718654587316,1.0,0.2808988764044944
70,0.6854901960784314,38,5,190,0.5,0.7,0.9999399399399399,0.9999439411381951,0.92,0.45098039215686275
71,0.6799999999999999,51,5,255,0.5,0.8,0.9999259259259259,0.9999279243205366,0.96,0.4
72,0.6736111111111112,73,5,365,0.5,0.9,0.9999059059059059,0.9999059011962561,1.0,0.3472222222222222
73,0.6582278481012658,94,5,470,0.5,0.95,0.9998918918918919,0.9998918864808048,1.0,0.31645569620253167
74,0.6420454545454546,145,5,725,0.5,0.99,0.9998738738738738,0.999873867560939,1.0,0.2840909090909091
75,0.6000000000000001,76,6,456,0.5,0.7,0.9999299299299299,0.9999399369337805,0.8,0.4
76,0.6144444444444445,102,6,612,0.5,0.8,0.9999259259259259,0.9999339306271585,0.84,0.3888888888888889
77,0.5767164179104478,146,6,876,0.5,0.9,0.9998998998998999,0.9999079032984634,0.84,0.31343283582089554
78,0.6010344827586207,22,4,88,0.6,0.95,0.999917917917918,0.9999259222183292,0.84,0.3620689655172414
79,0.6466666666666666,33,4,132,0.6,0.99,0.9999019019019019,0.9999038990940488,0.96,0.3333333333333333
80,0.6760975609756097,20,5,100,0.6,0.8,0.999951951951952,0.9999599579558537,0.84,0.5121951219512195
81,0.6844444444444444,28,5,140,0.6,0.9,0.999947947947948,0.9999539516492317,0.88,0.4888888888888889
82,0.6995833333333333,37,5,185,0.6,0.95,0.999945945945946,0.999949947444817,0.92,0.4791666666666667
83,0.6767213114754098,57,5,285,0.6,0.99,0.9999239239239239,0.9999259222183292,0.96,0.39344262295081966
84,0.6435714285714286,25,6,150,0.6,0.7,0.999961961961962,0.9999779768757195,0.68,0.6071428571428571
85,0.64125,34,6,204,0.6,0.8,0.9999579579579579,0.9999719705690976,0.72,0.5625
86,0.5907692307692307,48,6,288,0.6,0.9,0.9999439439439439,0.9999579558536463,0.72,0.46153846153846156
87,0.6127659574468085,63,6,378,0.6,0.95,0.9999359359359359,0.9999459432404024,0.8,0.425531914893617
88,0.6181132075471698,96,6,576,0.6,0.99,0.999927927927928,0.9999359327293659,0.84,0.39622641509433965
89,0.6133333333333333,42,7,294,0.6,0.7,0.9999639639639639,0.9999859852845487,0.56,0.6666666666666666
90,0.6162962962962963,57,7,399,0.6,0.8,0.99995995995996,0.9999779768757195,0.64,0.5925925925925926
91,0.5975757575757576,81,7,567,0.6,0.9,0.999951951951952,0.9999679663646829,0.68,0.5151515151515151
92,0.6061904761904762,106,7,742,0.6,0.95,0.999941941941942,0.9999539516492317,0.76,0.4523809523809524
93,0.6233333333333333,71,8,568,0.6,0.7,0.9999579579579579,0.9999739726713048,0.68,0.5666666666666667
94,0.5975757575757576,95,8,760,0.6,0.8,0.999951951951952,0.9999679663646829,0.68,0.5151515151515151
